0000 // dec: 000000	bin: 0000000000000000
5a400 // dec: 369664	bin: 1011010010000000000
5a8c1 // dec: 370881	bin: 1011010100011000001
5ad84 // dec: 372100	bin: 1011010110110000100
5b249 // dec: 373321	bin: 1011011001001001001
5b710 // dec: 374544	bin: 1011011011100010000
5bbd9 // dec: 375769	bin: 1011011101111011001
5c0a4 // dec: 376996	bin: 1011100000010100100
5c571 // dec: 378225	bin: 1011100010101110001
5ca40 // dec: 379456	bin: 1011100101001000000
5cf11 // dec: 380689	bin: 1011100111100010001
5d3e4 // dec: 381924	bin: 1011101001111100100
5d8b9 // dec: 383161	bin: 1011101100010111001
5dd90 // dec: 384400	bin: 1011101110110010000
5e269 // dec: 385641	bin: 1011110001001101001
5e744 // dec: 386884	bin: 1011110011101000100
5ec21 // dec: 388129	bin: 1011110110000100001
5f100 // dec: 389376	bin: 1011111000100000000
5f5e1 // dec: 390625	bin: 1011111010111100001
5fac4 // dec: 391876	bin: 1011111101011000100
5ffa9 // dec: 393129	bin: 1011111111110101001
60490 // dec: 394384	bin: 1100000010010010000
60979 // dec: 395641	bin: 1100000100101111001
60e64 // dec: 396900	bin: 1100000111001100100
61351 // dec: 398161	bin: 1100001001101010001
61840 // dec: 399424	bin: 1100001100001000000
61d31 // dec: 400689	bin: 1100001110100110001
62224 // dec: 401956	bin: 1100010001000100100
62719 // dec: 403225	bin: 1100010011100011001
62c10 // dec: 404496	bin: 1100010110000010000
63109 // dec: 405769	bin: 1100011000100001001
63604 // dec: 407044	bin: 1100011011000000100
63b01 // dec: 408321	bin: 1100011101100000001
64000 // dec: 409600	bin: 1100100000000000000
64501 // dec: 410881	bin: 1100100010100000001
64a04 // dec: 412164	bin: 1100100101000000100
64f09 // dec: 413449	bin: 1100100111100001001
65410 // dec: 414736	bin: 1100101010000010000
65919 // dec: 416025	bin: 1100101100100011001
65e24 // dec: 417316	bin: 1100101111000100100
66331 // dec: 418609	bin: 1100110001100110001
66840 // dec: 419904	bin: 1100110100001000000
66d51 // dec: 421201	bin: 1100110110101010001
67264 // dec: 422500	bin: 1100111001001100100
67779 // dec: 423801	bin: 1100111011101111001
67c90 // dec: 425104	bin: 1100111110010010000
681a9 // dec: 426409	bin: 1101000000110101001
686c4 // dec: 427716	bin: 1101000011011000100
68be1 // dec: 429025	bin: 1101000101111100001
69100 // dec: 430336	bin: 1101001000100000000
69621 // dec: 431649	bin: 1101001011000100001
69b44 // dec: 432964	bin: 1101001101101000100
6a069 // dec: 434281	bin: 1101010000001101001
6a590 // dec: 435600	bin: 1101010010110010000
6aab9 // dec: 436921	bin: 1101010101010111001
6afe4 // dec: 438244	bin: 1101010111111100100
6b511 // dec: 439569	bin: 1101011010100010001
6ba40 // dec: 440896	bin: 1101011101001000000
6bf71 // dec: 442225	bin: 1101011111101110001
6c4a4 // dec: 443556	bin: 1101100010010100100
6c9d9 // dec: 444889	bin: 1101100100111011001
6cf10 // dec: 446224	bin: 1101100111100010000
6d449 // dec: 447561	bin: 1101101010001001001
6d984 // dec: 448900	bin: 1101101100110000100
6dec1 // dec: 450241	bin: 1101101111011000001
6e400 // dec: 451584	bin: 1101110010000000000
6e941 // dec: 452929	bin: 1101110100101000001
6ee84 // dec: 454276	bin: 1101110111010000100
6f3c9 // dec: 455625	bin: 1101111001111001001
6f910 // dec: 456976	bin: 1101111100100010000
6fe59 // dec: 458329	bin: 1101111111001011001
703a4 // dec: 459684	bin: 1110000001110100100
708f1 // dec: 461041	bin: 1110000100011110001
70e40 // dec: 462400	bin: 1110000111001000000
71391 // dec: 463761	bin: 1110001001110010001
718e4 // dec: 465124	bin: 1110001100011100100
71e39 // dec: 466489	bin: 1110001111000111001
72390 // dec: 467856	bin: 1110010001110010000
728e9 // dec: 469225	bin: 1110010100011101001
72e44 // dec: 470596	bin: 1110010111001000100
733a1 // dec: 471969	bin: 1110011001110100001
73900 // dec: 473344	bin: 1110011100100000000
73e61 // dec: 474721	bin: 1110011111001100001
743c4 // dec: 476100	bin: 1110100001111000100
74929 // dec: 477481	bin: 1110100100100101001
74e90 // dec: 478864	bin: 1110100111010010000
753f9 // dec: 480249	bin: 1110101001111111001
75964 // dec: 481636	bin: 1110101100101100100
75ed1 // dec: 483025	bin: 1110101111011010001
76440 // dec: 484416	bin: 1110110010001000000
769b1 // dec: 485809	bin: 1110110100110110001
76f24 // dec: 487204	bin: 1110110111100100100
77499 // dec: 488601	bin: 1110111010010011001
77a10 // dec: 490000	bin: 1110111101000010000
77f89 // dec: 491401	bin: 1110111111110001001
78504 // dec: 492804	bin: 1111000010100000100
78a81 // dec: 494209	bin: 1111000101010000001
79000 // dec: 495616	bin: 1111001000000000000
79581 // dec: 497025	bin: 1111001010110000001
79b04 // dec: 498436	bin: 1111001101100000100
7a089 // dec: 499849	bin: 1111010000010001001
7a610 // dec: 501264	bin: 1111010011000010000
7ab99 // dec: 502681	bin: 1111010101110011001
7b124 // dec: 504100	bin: 1111011000100100100
7b6b1 // dec: 505521	bin: 1111011011010110001
7bc40 // dec: 506944	bin: 1111011110001000000
7c1d1 // dec: 508369	bin: 1111100000111010001
7c764 // dec: 509796	bin: 1111100011101100100
7ccf9 // dec: 511225	bin: 1111100110011111001
7d290 // dec: 512656	bin: 1111101001010010000
7d829 // dec: 514089	bin: 1111101100000101001
7ddc4 // dec: 515524	bin: 1111101110111000100
7e361 // dec: 516961	bin: 1111110001101100001
7e900 // dec: 518400	bin: 1111110100100000000
7eea1 // dec: 519841	bin: 1111110111010100001
7f444 // dec: 521284	bin: 1111111010001000100
7f9e9 // dec: 522729	bin: 1111111100111101001
7ff90 // dec: 524176	bin: 1111111111110010000
80539 // dec: 525625	bin: 10000000010100111001
80ae4 // dec: 527076	bin: 10000000101011100100
81091 // dec: 528529	bin: 10000001000010010001
81640 // dec: 529984	bin: 10000001011001000000
81bf1 // dec: 531441	bin: 10000001101111110001
821a4 // dec: 532900	bin: 10000010000110100100
82759 // dec: 534361	bin: 10000010011101011001
82d10 // dec: 535824	bin: 10000010110100010000
832c9 // dec: 537289	bin: 10000011001011001001
83884 // dec: 538756	bin: 10000011100010000100
83e41 // dec: 540225	bin: 10000011111001000001
84400 // dec: 541696	bin: 10000100010000000000
849c1 // dec: 543169	bin: 10000100100111000001
84f84 // dec: 544644	bin: 10000100111110000100
85549 // dec: 546121	bin: 10000101010101001001
85b10 // dec: 547600	bin: 10000101101100010000
860d9 // dec: 549081	bin: 10000110000011011001
866a4 // dec: 550564	bin: 10000110011010100100
86c71 // dec: 552049	bin: 10000110110001110001
87240 // dec: 553536	bin: 10000111001001000000
87811 // dec: 555025	bin: 10000111100000010001
87de4 // dec: 556516	bin: 10000111110111100100
883b9 // dec: 558009	bin: 10001000001110111001
88990 // dec: 559504	bin: 10001000100110010000
88f69 // dec: 561001	bin: 10001000111101101001
89544 // dec: 562500	bin: 10001001010101000100
89b21 // dec: 564001	bin: 10001001101100100001
8a100 // dec: 565504	bin: 10001010000100000000
8a6e1 // dec: 567009	bin: 10001010011011100001
8acc4 // dec: 568516	bin: 10001010110011000100
8b2a9 // dec: 570025	bin: 10001011001010101001
8b890 // dec: 571536	bin: 10001011100010010000
8be79 // dec: 573049	bin: 10001011111001111001
8c464 // dec: 574564	bin: 10001100010001100100
8ca51 // dec: 576081	bin: 10001100101001010001
8d040 // dec: 577600	bin: 10001101000001000000
8d631 // dec: 579121	bin: 10001101011000110001
8dc24 // dec: 580644	bin: 10001101110000100100
8e219 // dec: 582169	bin: 10001110001000011001
8e810 // dec: 583696	bin: 10001110100000010000
8ee09 // dec: 585225	bin: 10001110111000001001
8f404 // dec: 586756	bin: 10001111010000000100
8fa01 // dec: 588289	bin: 10001111101000000001
90000 // dec: 589824	bin: 10010000000000000000
90601 // dec: 591361	bin: 10010000011000000001
90c04 // dec: 592900	bin: 10010000110000000100
91209 // dec: 594441	bin: 10010001001000001001
91810 // dec: 595984	bin: 10010001100000010000
91e19 // dec: 597529	bin: 10010001111000011001
92424 // dec: 599076	bin: 10010010010000100100
92a31 // dec: 600625	bin: 10010010101000110001
93040 // dec: 602176	bin: 10010011000001000000
93651 // dec: 603729	bin: 10010011011001010001
93c64 // dec: 605284	bin: 10010011110001100100
94279 // dec: 606841	bin: 10010100001001111001
94890 // dec: 608400	bin: 10010100100010010000
94ea9 // dec: 609961	bin: 10010100111010101001
954c4 // dec: 611524	bin: 10010101010011000100
95ae1 // dec: 613089	bin: 10010101101011100001
96100 // dec: 614656	bin: 10010110000100000000
96721 // dec: 616225	bin: 10010110011100100001
96d44 // dec: 617796	bin: 10010110110101000100
97369 // dec: 619369	bin: 10010111001101101001
97990 // dec: 620944	bin: 10010111100110010000
97fb9 // dec: 622521	bin: 10010111111110111001
985e4 // dec: 624100	bin: 10011000010111100100
98c11 // dec: 625681	bin: 10011000110000010001
99240 // dec: 627264	bin: 10011001001001000000
99871 // dec: 628849	bin: 10011001100001110001
99ea4 // dec: 630436	bin: 10011001111010100100
9a4d9 // dec: 632025	bin: 10011010010011011001
9ab10 // dec: 633616	bin: 10011010101100010000
9b149 // dec: 635209	bin: 10011011000101001001
9b784 // dec: 636804	bin: 10011011011110000100
9bdc1 // dec: 638401	bin: 10011011110111000001
9c400 // dec: 640000	bin: 10011100010000000000
9ca41 // dec: 641601	bin: 10011100101001000001
9d084 // dec: 643204	bin: 10011101000010000100
9d6c9 // dec: 644809	bin: 10011101011011001001
9dd10 // dec: 646416	bin: 10011101110100010000
9e359 // dec: 648025	bin: 10011110001101011001
9e9a4 // dec: 649636	bin: 10011110100110100100
9eff1 // dec: 651249	bin: 10011110111111110001
9f640 // dec: 652864	bin: 10011111011001000000
9fc91 // dec: 654481	bin: 10011111110010010001
a02e4 // dec: 656100	bin: 10100000001011100100
a0939 // dec: 657721	bin: 10100000100100111001
a0f90 // dec: 659344	bin: 10100000111110010000
a15e9 // dec: 660969	bin: 10100001010111101001
a1c44 // dec: 662596	bin: 10100001110001000100
a22a1 // dec: 664225	bin: 10100010001010100001
a2900 // dec: 665856	bin: 10100010100100000000
a2f61 // dec: 667489	bin: 10100010111101100001
a35c4 // dec: 669124	bin: 10100011010111000100
a3c29 // dec: 670761	bin: 10100011110000101001
a4290 // dec: 672400	bin: 10100100001010010000
a48f9 // dec: 674041	bin: 10100100100011111001
a4f64 // dec: 675684	bin: 10100100111101100100
a55d1 // dec: 677329	bin: 10100101010111010001
a5c40 // dec: 678976	bin: 10100101110001000000
a62b1 // dec: 680625	bin: 10100110001010110001
a6924 // dec: 682276	bin: 10100110100100100100
a6f99 // dec: 683929	bin: 10100110111110011001
a7610 // dec: 685584	bin: 10100111011000010000
a7c89 // dec: 687241	bin: 10100111110010001001
a8304 // dec: 688900	bin: 10101000001100000100
a8981 // dec: 690561	bin: 10101000100110000001
a9000 // dec: 692224	bin: 10101001000000000000
a9681 // dec: 693889	bin: 10101001011010000001
a9d04 // dec: 695556	bin: 10101001110100000100
aa389 // dec: 697225	bin: 10101010001110001001
aaa10 // dec: 698896	bin: 10101010101000010000
ab099 // dec: 700569	bin: 10101011000010011001
ab724 // dec: 702244	bin: 10101011011100100100
abdb1 // dec: 703921	bin: 10101011110110110001
ac440 // dec: 705600	bin: 10101100010001000000
acad1 // dec: 707281	bin: 10101100101011010001
ad164 // dec: 708964	bin: 10101101000101100100
ad7f9 // dec: 710649	bin: 10101101011111111001
ade90 // dec: 712336	bin: 10101101111010010000
ae529 // dec: 714025	bin: 10101110010100101001
aebc4 // dec: 715716	bin: 10101110101111000100
af261 // dec: 717409	bin: 10101111001001100001
af900 // dec: 719104	bin: 10101111100100000000
affa1 // dec: 720801	bin: 10101111111110100001
b0644 // dec: 722500	bin: 10110000011001000100
b0ce9 // dec: 724201	bin: 10110000110011101001
b1390 // dec: 725904	bin: 10110001001110010000
b1a39 // dec: 727609	bin: 10110001101000111001
b20e4 // dec: 729316	bin: 10110010000011100100
b2791 // dec: 731025	bin: 10110010011110010001
b2e40 // dec: 732736	bin: 10110010111001000000
b34f1 // dec: 734449	bin: 10110011010011110001
b3ba4 // dec: 736164	bin: 10110011101110100100
b4259 // dec: 737881	bin: 10110100001001011001
b4910 // dec: 739600	bin: 10110100100100010000
b4fc9 // dec: 741321	bin: 10110100111111001001
b5684 // dec: 743044	bin: 10110101011010000100
b5d41 // dec: 744769	bin: 10110101110101000001
b6400 // dec: 746496	bin: 10110110010000000000
b6ac1 // dec: 748225	bin: 10110110101011000001
b7184 // dec: 749956	bin: 10110111000110000100
b7849 // dec: 751689	bin: 10110111100001001001
b7f10 // dec: 753424	bin: 10110111111100010000
b85d9 // dec: 755161	bin: 10111000010111011001
b8ca4 // dec: 756900	bin: 10111000110010100100
b9371 // dec: 758641	bin: 10111001001101110001
b9a40 // dec: 760384	bin: 10111001101001000000
ba111 // dec: 762129	bin: 10111010000100010001
ba7e4 // dec: 763876	bin: 10111010011111100100
baeb9 // dec: 765625	bin: 10111010111010111001
bb590 // dec: 767376	bin: 10111011010110010000
bbc69 // dec: 769129	bin: 10111011110001101001
bc344 // dec: 770884	bin: 10111100001101000100
bca21 // dec: 772641	bin: 10111100101000100001
bd100 // dec: 774400	bin: 10111101000100000000
bd7e1 // dec: 776161	bin: 10111101011111100001
bdec4 // dec: 777924	bin: 10111101111011000100
be5a9 // dec: 779689	bin: 10111110010110101001
bec90 // dec: 781456	bin: 10111110110010010000
bf379 // dec: 783225	bin: 10111111001101111001
bfa64 // dec: 784996	bin: 10111111101001100100
c0151 // dec: 786769	bin: 11000000000101010001
c0840 // dec: 788544	bin: 11000000100001000000
c0f31 // dec: 790321	bin: 11000000111100110001
c1624 // dec: 792100	bin: 11000001011000100100
c1d19 // dec: 793881	bin: 11000001110100011001
c2410 // dec: 795664	bin: 11000010010000010000
c2b09 // dec: 797449	bin: 11000010101100001001
c3204 // dec: 799236	bin: 11000011001000000100
c3901 // dec: 801025	bin: 11000011100100000001
c4000 // dec: 802816	bin: 11000100000000000000
c4701 // dec: 804609	bin: 11000100011100000001
c4e04 // dec: 806404	bin: 11000100111000000100
c5509 // dec: 808201	bin: 11000101010100001001
c5c10 // dec: 810000	bin: 11000101110000010000
c6319 // dec: 811801	bin: 11000110001100011001
c6a24 // dec: 813604	bin: 11000110101000100100
c7131 // dec: 815409	bin: 11000111000100110001
c7840 // dec: 817216	bin: 11000111100001000000
c7f51 // dec: 819025	bin: 11000111111101010001
c8664 // dec: 820836	bin: 11001000011001100100
c8d79 // dec: 822649	bin: 11001000110101111001
c9490 // dec: 824464	bin: 11001001010010010000
c9ba9 // dec: 826281	bin: 11001001101110101001
ca2c4 // dec: 828100	bin: 11001010001011000100
ca9e1 // dec: 829921	bin: 11001010100111100001
cb100 // dec: 831744	bin: 11001011000100000000
cb821 // dec: 833569	bin: 11001011100000100001
cbf44 // dec: 835396	bin: 11001011111101000100
cc669 // dec: 837225	bin: 11001100011001101001
ccd90 // dec: 839056	bin: 11001100110110010000
cd4b9 // dec: 840889	bin: 11001101010010111001
cdbe4 // dec: 842724	bin: 11001101101111100100
ce311 // dec: 844561	bin: 11001110001100010001
cea40 // dec: 846400	bin: 11001110101001000000
cf171 // dec: 848241	bin: 11001111000101110001
cf8a4 // dec: 850084	bin: 11001111100010100100
cffd9 // dec: 851929	bin: 11001111111111011001
d0710 // dec: 853776	bin: 11010000011100010000
d0e49 // dec: 855625	bin: 11010000111001001001
d1584 // dec: 857476	bin: 11010001010110000100
d1cc1 // dec: 859329	bin: 11010001110011000001
d2400 // dec: 861184	bin: 11010010010000000000
d2b41 // dec: 863041	bin: 11010010101101000001
d3284 // dec: 864900	bin: 11010011001010000100
d39c9 // dec: 866761	bin: 11010011100111001001
d4110 // dec: 868624	bin: 11010100000100010000
d4859 // dec: 870489	bin: 11010100100001011001
d4fa4 // dec: 872356	bin: 11010100111110100100
d56f1 // dec: 874225	bin: 11010101011011110001
d5e40 // dec: 876096	bin: 11010101111001000000
d6591 // dec: 877969	bin: 11010110010110010001
d6ce4 // dec: 879844	bin: 11010110110011100100
d7439 // dec: 881721	bin: 11010111010000111001
d7b90 // dec: 883600	bin: 11010111101110010000
d82e9 // dec: 885481	bin: 11011000001011101001
d8a44 // dec: 887364	bin: 11011000101001000100
d91a1 // dec: 889249	bin: 11011001000110100001
d9900 // dec: 891136	bin: 11011001100100000000
da061 // dec: 893025	bin: 11011010000001100001
da7c4 // dec: 894916	bin: 11011010011111000100
daf29 // dec: 896809	bin: 11011010111100101001
db690 // dec: 898704	bin: 11011011011010010000
dbdf9 // dec: 900601	bin: 11011011110111111001
dc564 // dec: 902500	bin: 11011100010101100100
dccd1 // dec: 904401	bin: 11011100110011010001
dd440 // dec: 906304	bin: 11011101010001000000
ddbb1 // dec: 908209	bin: 11011101101110110001
de324 // dec: 910116	bin: 11011110001100100100
dea99 // dec: 912025	bin: 11011110101010011001
df210 // dec: 913936	bin: 11011111001000010000
df989 // dec: 915849	bin: 11011111100110001001
e0104 // dec: 917764	bin: 11100000000100000100
e0881 // dec: 919681	bin: 11100000100010000001
e1000 // dec: 921600	bin: 11100001000000000000
e1781 // dec: 923521	bin: 11100001011110000001
e1f04 // dec: 925444	bin: 11100001111100000100
e2689 // dec: 927369	bin: 11100010011010001001
e2e10 // dec: 929296	bin: 11100010111000010000
e3599 // dec: 931225	bin: 11100011010110011001
e3d24 // dec: 933156	bin: 11100011110100100100
e44b1 // dec: 935089	bin: 11100100010010110001
e4c40 // dec: 937024	bin: 11100100110001000000
e53d1 // dec: 938961	bin: 11100101001111010001
e5b64 // dec: 940900	bin: 11100101101101100100
e62f9 // dec: 942841	bin: 11100110001011111001
e6a90 // dec: 944784	bin: 11100110101010010000
e7229 // dec: 946729	bin: 11100111001000101001
e79c4 // dec: 948676	bin: 11100111100111000100
e8161 // dec: 950625	bin: 11101000000101100001
e8900 // dec: 952576	bin: 11101000100100000000
e90a1 // dec: 954529	bin: 11101001000010100001
e9844 // dec: 956484	bin: 11101001100001000100
e9fe9 // dec: 958441	bin: 11101001111111101001
ea790 // dec: 960400	bin: 11101010011110010000
eaf39 // dec: 962361	bin: 11101010111100111001
eb6e4 // dec: 964324	bin: 11101011011011100100
ebe91 // dec: 966289	bin: 11101011111010010001
ec640 // dec: 968256	bin: 11101100011001000000
ecdf1 // dec: 970225	bin: 11101100110111110001
ed5a4 // dec: 972196	bin: 11101101010110100100
edd59 // dec: 974169	bin: 11101101110101011001
ee510 // dec: 976144	bin: 11101110010100010000
eecc9 // dec: 978121	bin: 11101110110011001001
ef484 // dec: 980100	bin: 11101111010010000100
efc41 // dec: 982081	bin: 11101111110001000001
f0400 // dec: 984064	bin: 11110000010000000000
f0bc1 // dec: 986049	bin: 11110000101111000001
f1384 // dec: 988036	bin: 11110001001110000100
f1b49 // dec: 990025	bin: 11110001101101001001
f2310 // dec: 992016	bin: 11110010001100010000
f2ad9 // dec: 994009	bin: 11110010101011011001
f32a4 // dec: 996004	bin: 11110011001010100100
f3a71 // dec: 998001	bin: 11110011101001110001
f4240 // dec: 1000000	bin: 11110100001001000000
f4a11 // dec: 1002001	bin: 11110100101000010001
f51e4 // dec: 1004004	bin: 11110101000111100100
f59b9 // dec: 1006009	bin: 11110101100110111001
f6190 // dec: 1008016	bin: 11110110000110010000
f6969 // dec: 1010025	bin: 11110110100101101001
f7144 // dec: 1012036	bin: 11110111000101000100
f7921 // dec: 1014049	bin: 11110111100100100001
f8100 // dec: 1016064	bin: 11111000000100000000
f88e1 // dec: 1018081	bin: 11111000100011100001
f90c4 // dec: 1020100	bin: 11111001000011000100
f98a9 // dec: 1022121	bin: 11111001100010101001
fa090 // dec: 1024144	bin: 11111010000010010000
fa879 // dec: 1026169	bin: 11111010100001111001
fb064 // dec: 1028196	bin: 11111011000001100100
fb851 // dec: 1030225	bin: 11111011100001010001
fc040 // dec: 1032256	bin: 11111100000001000000
fc831 // dec: 1034289	bin: 11111100100000110001
fd024 // dec: 1036324	bin: 11111101000000100100
fd819 // dec: 1038361	bin: 11111101100000011001
fe010 // dec: 1040400	bin: 11111110000000010000
fe809 // dec: 1042441	bin: 11111110100000001001
ff004 // dec: 1044484	bin: 11111111000000000100
ff801 // dec: 1046529	bin: 11111111100000000001
